[2024-12-21 14:45:54] [check_init_dialog_box]
[2024-12-21 14:45:59] 	[X] get_actions_offline_earning_close_box
[2024-12-21 14:50:56] 	[X] Unlock Factory
[2024-12-21 14:50:56] 	[O] Upgrade Factory / get_actions_upgrade_coin_active
[2024-12-21 14:50:59] 	Close Factory 110, 1751
[2024-12-21 14:51:01] 	[X] Skill Upgrade
[2024-12-21 14:51:04] 	[X] BOX Open
[2024-12-21 14:51:04] 	Open Factory 110, 1751
[2024-12-21 14:51:06] 	[X] Unlock Factory
[2024-12-21 14:51:06] 	[O] Upgrade Factory / get_actions_upgrade_coin_active
[2024-12-21 14:51:09] 	Close Factory 110, 1751
[2024-12-21 14:51:11] 	[X] Skill Upgrade
[2024-12-21 14:51:14] 	[X] BOX Open
[2024-12-21 14:51:14] 	Open Factory 110, 1751
[2024-12-21 14:51:16] 	[X] Unlock Factory
[2024-12-21 14:51:16] 	[O] Upgrade Factory / get_actions_upgrade_coin_active
[2024-12-21 14:51:19] 	Close Factory 110, 1751
[2024-12-21 14:51:21] 	[X] Skill Upgrade
[2024-12-21 14:51:24] 	[X] BOX Open
[2024-12-21 14:51:24] 	Open Factory 110, 1751
[2024-12-21 14:51:26] 	[X] Unlock Factory
[2024-12-21 14:51:26] 	[O] Upgrade Factory / get_actions_upgrade_coin_active
[2024-12-21 14:51:29] 	Close Factory 110, 1751
[2024-12-21 14:51:32] 	[O] Skill Upgrade
[2024-12-21 14:51:36] 	[X] BOX Open
[2024-12-21 14:51:36] 	Open Factory 110, 1751
[2024-12-21 14:51:39] 	[X] Unlock Factory
[2024-12-21 14:51:39] 	[O] Upgrade Factory / get_actions_upgrade_coin_active
[2024-12-21 14:51:41] 	Close Factory 110, 1751
[2024-12-21 14:51:44] 	[X] Skill Upgrade
[2024-12-21 14:51:46] 	[X] BOX Open
[2024-12-21 14:51:46] 	Open Factory 110, 1751
[2024-12-21 14:51:49] 	[X] Unlock Factory
[2024-12-21 14:51:49] 	[O] Upgrade Factory / get_actions_upgrade_coin_active
[2024-12-21 14:51:51] 	Close Factory 110, 1751
[2024-12-21 14:51:54] 	[O] Skill Upgrade
[2024-12-21 14:51:58] 	[X] BOX Open
[2024-12-21 14:51:58] 	Open Factory 110, 1751
[2024-12-21 14:52:01] 	[X] Unlock Factory
[2024-12-21 14:52:01] 	[O] Upgrade Factory / get_actions_upgrade_coin_active
[2024-12-21 14:52:04] 	Close Factory 110, 1751
[2024-12-21 14:52:06] 	[X] Skill Upgrade
[2024-12-21 14:52:08] 	[X] BOX Open
[2024-12-21 14:52:08] 	Open Factory 110, 1751
[2024-12-21 14:52:11] 	[X] Unlock Factory
[2024-12-21 14:52:11] 	[O] Upgrade Factory / get_actions_upgrade_coin_active
[2024-12-21 14:52:14] 	Close Factory 110, 1751
[2024-12-21 14:52:16] 	[O] Skill Upgrade
[2024-12-21 14:52:21] 	[X] BOX Open
[2024-12-21 14:52:21] 	Open Factory 110, 1751
[2024-12-21 14:52:23] 	[X] Unlock Factory
[2024-12-21 14:52:23] 	[O] Upgrade Factory / get_actions_upgrade_coin_active
[2024-12-21 14:52:26] 	Close Factory 110, 1751
[2024-12-21 14:52:29] 	[O] Skill Upgrade
[2024-12-21 14:52:33] 	[X] BOX Open
[2024-12-21 14:52:33] 	Open Factory 110, 1751
[2024-12-21 14:52:36] 	[X] Unlock Factory
[2024-12-21 14:52:36] 	[O] Upgrade Factory / get_actions_upgrade_coin_active
[2024-12-21 14:52:38] 	Close Factory 110, 1751
[2024-12-21 14:52:41] 	[X] Skill Upgrade
[2024-12-21 14:52:43] 	[X] BOX Open
[2024-12-21 14:52:43] 	Open Factory 110, 1751
[2024-12-21 14:52:46] 	[X] Unlock Factory
[2024-12-21 14:52:46] 	[O] Upgrade Factory / get_actions_upgrade_coin_active
[2024-12-21 14:52:48] 	Close Factory 110, 1751
[2024-12-21 14:52:51] 	[O] Skill Upgrade
[2024-12-21 14:52:55] 	[O] Open Box 215, 1061
[2024-12-21 14:52:56] 	Open Factory 110, 1751
[2024-12-21 14:52:58] 	Close Factory 110, 1751
[2024-12-21 14:53:01] 	[O] Skill Upgrade
[2024-12-21 14:53:05] 	[O] Open Box 107, 1061
[2024-12-21 14:53:05] 	Open Factory 434, 1657
[2024-12-21 14:53:08] 	[O] Unlock Factory
[2024-12-21 14:53:09] 	Close Factory 434, 1657
[2024-12-21 14:53:11] 	[X] Skill Upgrade
[2024-12-21 14:53:13] 	[X] BOX Open
[2024-12-21 14:53:13] 	Open Factory 434, 1657
[2024-12-21 14:53:16] 	[X] Unlock Factory
[2024-12-21 14:53:16] 	[O] Upgrade Factory / get_actions_upgrade_coin_active
[2024-12-21 14:53:19] 	Close Factory 434, 1657
[2024-12-21 14:53:21] 	[O] Skill Upgrade
[2024-12-21 14:53:26] 	[X] BOX Open
[2024-12-21 14:53:26] 	Open Factory 434, 1657
[2024-12-21 14:53:29] 	[X] Unlock Factory
[2024-12-21 14:53:29] 	[O] Upgrade Factory / get_actions_upgrade_coin_active
[2024-12-21 14:53:31] 	Close Factory 434, 1657
[2024-12-21 14:53:34] 	[X] Skill Upgrade
[2024-12-21 14:53:36] 	[X] BOX Open
[2024-12-21 14:53:36] 	Open Factory 434, 1657
[2024-12-21 14:53:39] 	[X] Unlock Factory
[2024-12-21 14:53:39] 	[O] Upgrade Factory / get_actions_upgrade_coin_active
[2024-12-21 14:53:42] 	Close Factory 434, 1657
[2024-12-21 14:53:44] 	[X] Skill Upgrade
[2024-12-21 14:53:46] 	[O] Open Box 647, 1716
[2024-12-21 14:53:46] 	[O] Open Box 639, 1616
[2024-12-21 14:53:47] 	[O] Open Box 431, 1055
[2024-12-21 14:53:47] 	Open Factory 434, 1657
[2024-12-21 14:53:50] 	[X] Unlock Factory
[2024-12-21 14:53:50] 	[O] Upgrade Factory / get_actions_upgrade_coin_active
[2024-12-21 14:53:53] 	Close Factory 434, 1657
[2024-12-21 14:53:55] 	[X] Skill Upgrade
[2024-12-21 14:53:57] 	[X] BOX Open
[2024-12-21 14:53:57] 	Open Factory 434, 1657
[2024-12-21 14:54:00] 	[X] Unlock Factory
[2024-12-21 14:54:00] 	[O] Upgrade Factory / get_actions_upgrade_coin_active
[2024-12-21 14:54:03] 	Close Factory 434, 1657
[2024-12-21 14:54:05] 	[O] Skill Upgrade
[2024-12-21 14:54:10] 	[X] BOX Open
[2024-12-21 14:54:10] 	Open Factory 434, 1657
[2024-12-21 14:54:13] 	[X] Unlock Factory
[2024-12-21 14:54:13] 	[O] Upgrade Factory / get_actions_upgrade_coin_active
[2024-12-21 14:54:15] 	Close Factory 434, 1657
[2024-12-21 14:54:18] 	[X] Skill Upgrade
[2024-12-21 14:54:20] 	[X] BOX Open
[2024-12-21 14:54:20] 	Open Factory 434, 1657
[2024-12-21 14:54:23] 	[X] Unlock Factory
[2024-12-21 14:54:23] 	[O] Upgrade Factory / get_actions_upgrade_coin_active
[2024-12-21 14:54:26] 	Close Factory 434, 1657
[2024-12-21 14:54:28] 	[X] Skill Upgrade
[2024-12-21 14:54:30] 	[X] BOX Open
[2024-12-21 14:54:30] 	Open Factory 434, 1657
[2024-12-21 14:54:33] 	Close Factory 434, 1657
[2024-12-21 14:54:35] 	[X] Skill Upgrade
[2024-12-21 14:54:38] 	[X] BOX Open
[2024-12-21 14:54:38] 	Open Factory 434, 1283
[2024-12-21 14:54:40] 	[O] Unlock Factory
[2024-12-21 14:54:41] 	Close Factory 434, 1283
[2024-12-21 14:54:44] 	[X] Skill Upgrade
[2024-12-21 14:54:46] 	[X] BOX Open
[2024-12-21 14:54:46] 	Open Factory 434, 1283
[2024-12-21 14:54:48] 	[X] Unlock Factory
[2024-12-21 14:54:48] 	[O] Upgrade Factory / get_actions_upgrade_coin_active
[2024-12-21 14:54:51] 	Close Factory 434, 1283
[2024-12-21 14:54:54] 	[X] Skill Upgrade
[2024-12-21 14:54:56] 	[X] BOX Open
[2024-12-21 14:54:56] 	Open Factory 434, 1283
[2024-12-21 14:54:58] 	[X] Unlock Factory
[2024-12-21 14:54:59] 	[O] Upgrade Factory / get_actions_upgrade_coin_active
[2024-12-21 14:55:01] 	Close Factory 434, 1283
[2024-12-21 14:55:04] 	[X] Skill Upgrade
[2024-12-21 14:55:06] 	[X] BOX Open
[2024-12-21 14:55:06] 	Open Factory 434, 1283
[2024-12-21 14:55:09] 	[X] Unlock Factory
[2024-12-21 14:55:09] 	[O] Upgrade Factory / get_actions_upgrade_coin_active
[2024-12-21 14:55:11] 	Close Factory 434, 1283
[2024-12-21 14:55:14] 	[X] Skill Upgrade
[2024-12-21 14:55:16] 	[X] BOX Open
[2024-12-21 14:55:16] 	Open Factory 434, 1283
[2024-12-21 14:55:19] 	[X] Unlock Factory
[2024-12-21 14:55:19] 	[O] Upgrade Factory / get_actions_upgrade_coin_active
[2024-12-21 14:55:22] 	Close Factory 434, 1283
[2024-12-21 14:55:24] 	[X] Skill Upgrade
[2024-12-21 14:55:26] 	[O] Open Box 647, 1341
[2024-12-21 14:55:27] 	[O] Open Box 655, 1242
[2024-12-21 14:55:27] 	Open Factory 434, 1283
[2024-12-21 14:55:30] 	[X] Unlock Factory
[2024-12-21 14:55:30] 	[O] Upgrade Factory / get_actions_upgrade_coin_active
[2024-12-21 14:55:33] 	Close Factory 434, 1283
[2024-12-21 14:55:35] 	[X] Skill Upgrade
[2024-12-21 14:55:37] 	[X] BOX Open
[2024-12-21 14:55:37] 	Open Factory 434, 1283
[2024-12-21 14:55:40] 	[X] Unlock Factory
[2024-12-21 14:55:40] 	[O] Upgrade Factory / get_actions_upgrade_coin_active
[2024-12-21 14:55:43] 	Close Factory 434, 1283
[2024-12-21 14:55:45] 	[X] Skill Upgrade
[2024-12-21 14:55:48] 	[X] BOX Open
[2024-12-21 14:55:48] 	Open Factory 434, 1283
[2024-12-21 14:55:50] 	[X] Unlock Factory
[2024-12-21 14:55:50] 	[O] Upgrade Factory / get_actions_upgrade_coin_active
[2024-12-21 14:55:53] 	Close Factory 434, 1283
[2024-12-21 14:55:56] 	[X] Skill Upgrade
[2024-12-21 14:55:58] 	[X] BOX Open
[2024-12-21 14:55:58] 	Open Factory 434, 1283
[2024-12-21 14:56:00] 	Close Factory 434, 1283
[2024-12-21 14:56:01] [find factory to upgrade] 7 / 10
[2024-12-21 14:56:07] 	[X] Skill Upgrade
[2024-12-21 14:56:09] 	[O] Open Box 107, 1459
[2024-12-21 14:56:09] 	[O] Open Box 107, 1360
[2024-12-21 14:56:10] 	[O] Open Box 105, 1266
[2024-12-21 14:56:10] [find factory to upgrade] 8 / 10
[2024-12-21 14:56:14] 	[X] Skill Upgrade
[2024-12-21 14:56:16] 	[X] BOX Open
[2024-12-21 14:56:16] 	Open Factory 434, 1774
[2024-12-21 14:56:19] 	[O] Unlock Factory
[2024-12-21 14:56:20] 	Close Factory 434, 1774
[2024-12-21 14:56:22] 	[X] Skill Upgrade
[2024-12-21 14:56:24] 	[X] BOX Open
[2024-12-21 14:56:24] 	Open Factory 434, 1774
[2024-12-21 14:56:27] 	[X] Unlock Factory
[2024-12-21 14:56:27] 	[O] Upgrade Factory / get_actions_upgrade_coin_active
[2024-12-21 14:56:30] 	Close Factory 434, 1774
[2024-12-21 14:56:33] 	[X] Skill Upgrade
[2024-12-21 14:56:35] 	[O] Open Box 647, 1734
[2024-12-21 14:56:35] 	Open Factory 434, 1774
[2024-12-21 14:56:38] 	[X] Unlock Factory
[2024-12-21 14:56:38] 	[O] Upgrade Factory / get_actions_upgrade_coin_active
[2024-12-21 14:56:41] 	Close Factory 434, 1774
[2024-12-21 14:56:43] 	[X] Skill Upgrade
[2024-12-21 14:56:46] 	[X] BOX Open
[2024-12-21 14:56:46] 	Open Factory 434, 1774
[2024-12-21 14:56:49] 	[X] Unlock Factory
[2024-12-21 14:56:49] 	[O] Upgrade Factory / get_actions_upgrade_coin_active
